capítulo-cid-10,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total
I.   Algumas doenças infecciosas e parasitárias,809351,831528,752994,751091,809024,1103639,1784995,884485,783360,961499,9471966
II.  Neoplasias (tumores),755534,768355,795243,832326,882613,759914,798407,937971,1017973,1105374,8653710
III. Doenças sangue órgãos hemat e transt imunitár,95234,98151,102126,105083,110911,92098,97113,117261,128874,138299,1085150
IV.  Doenças endócrinas nutricionais e metabólicas,260069,245942,240818,240621,247232,201056,203713,234969,246087,257010,2377517
V.   Transtornos mentais e comportamentais,228776,215793,216701,225800,237330,198125,203386,226161,252483,261955,2266510
VI.  Doenças do sistema nervoso,188483,190538,190094,197284,203551,164978,178139,218890,233786,249638,2015381
VII. Doenças do olho e anexos,100013,104987,113244,128124,134997,83565,100662,140620,160495,197787,1264494
VIII.Doenças do ouvido e da apófise mastóide,19160,19067,19978,19560,21720,11829,12465,20612,25346,30244,199981
IX.  Doenças do aparelho circulatório,1128521,1126140,1131769,1152011,1179365,995115,1008992,1197292,1279882,1328820,11527907
X.   Doenças do aparelho respiratório,1217636,1157841,1182448,1177812,1190950,760929,773653,1240302,1314762,1360040,11376373
XI.  Doenças do aparelho digestivo,1073733,1081328,1103047,1167840,1210427,888844,917779,1270936,1415630,1501862,11631426
XII. Doenças da pele e do tecido subcutâneo,242391,247991,255079,264446,283996,209215,210436,262893,311351,353205,2641003
XIII.Doenças sist osteomuscular e tec conjuntivo,209079,202840,204569,214468,219222,146165,151968,215380,250318,292138,2106147
XIV. Doenças do aparelho geniturinário,790872,781901,799278,837603,873328,656621,665723,873517,995586,1072868,8347297
XV.  Gravidez parto e puerpério,2421088,2345438,2418108,2476745,2451903,2322218,2310265,2234475,2220486,2115667,23316393
